timestamp,cpu_idle_109,cpu_iowait_109,cpu_irq_109,cpu_nice_109,cpu_softirq_109,cpu_steal_109,cpu_system_109,cpu_user_109,cpu_idle_110,cpu_iowait_110,cpu_irq_110,cpu_nice_110,cpu_softirq_110,cpu_steal_110,cpu_system_110,cpu_user_110,mem_avail_109,mem_avail_110,mem_total_109,mem_total_110,running_total,pending
2025-12-02 00:30:00+07:00,1667024.7850000001,357.75,0.0,130.5425,1018.9125,0.0,84413.565,862930.1225,2111176.36,361.45500000000004,0.0,86.3475,205.2625,0.0,33602.0675,501027.095,5336989696.0,6337093632.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:31:00+07:00,1667035.6524999999,357.76,0.0,130.5425,1018.9725000000001,0.0,84417.8625,862972.9450000001,2111191.7375,361.4575,0.0,86.3475,205.26999999999998,0.0,33604.67,501066.4525,5350113280.0,6367039488.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:32:00+07:00,1667046.44,357.78,0.0,130.5425,1019.02,0.0,84421.72,863016.075,2111207.2975000003,361.4575,0.0,86.3475,205.28,0.0,33607.23,501105.925,5329485824.0,6349185024.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:33:00+07:00,1667058.005,357.78,0.0,130.5425,1019.065,0.0,84425.695,863058.42,2111222.6925,361.4625,0.0,86.3475,205.2875,0.0,33609.845,501145.2625,5319389184.0,6352572416.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:34:00+07:00,1667069.65,357.7825,0.0,130.5425,1019.1125,0.0,84429.7025,863100.6825,2111238.1100000003,361.4675,0.0,86.3475,205.2925,0.0,33612.417499999996,501184.64749999996,5320720384.0,6381277184.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:35:00+07:00,1667082.0350000001,357.7875,0.0,130.5425,1019.1625,0.0,84433.68,863142.0475,2111253.3275,361.47,0.0,86.3475,205.305,0.0,33615.08,501224.3025,5322027008.0,6343262208.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:36:00+07:00,1667093.895,357.7875,0.0,130.5425,1019.2025,0.0,84437.4525,863184.28,2111268.6574999997,361.4725,0.0,86.3475,205.3125,0.0,33617.71,501263.72250000003,5313548288.0,6368247808.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:37:00+07:00,1667105.2425,357.7925,0.0,130.5425,1019.2425000000001,0.0,84441.9375,863226.395,2111284.05,361.5025,0.0,86.3475,205.3225,0.0,33620.38,501303.1775,5334564864.0,6345629696.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:38:00+07:00,1667116.9775,357.795,0.0,130.5425,1019.2875,0.0,84445.8775,863268.545,2111299.4050000003,361.5025,0.0,86.3475,205.32999999999998,0.0,33623.104999999996,501342.29000000004,5346066432.0,6344101888.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:39:00+07:00,1667128.74,357.8275,0.0,130.5425,1019.33,0.0,84450.29000000001,863310.1025,2111314.7325,361.5075,0.0,86.3475,205.33749999999998,0.0,33625.8225,501381.66000000003,5326864384.0,6367969280.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:40:00+07:00,1667140.7650000001,357.83,0.0,130.5425,1019.3824999999999,0.0,84454.205,863352.0525,2111330.2575000003,361.51,0.0,86.3475,205.345,0.0,33628.4275,501420.95,5349142528.0,6357876736.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:41:00+07:00,1667153.0175,357.83,0.0,130.5425,1019.4300000000001,0.0,84458.0925,863393.7124999999,2111345.8125,361.51,0.0,86.3475,205.35250000000002,0.0,33630.962499999994,501460.17,5351915520.0,6353211392.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:42:00+07:00,1667165.1099999999,357.8325,0.0,130.5425,1019.4725000000001,0.0,84461.935,863435.52,2111361.065,361.515,0.0,86.3475,205.35750000000002,0.0,33633.6025,501499.8575,5331488768.0,6346063872.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:43:00+07:00,1667177.3125,357.84000000000003,0.0,130.5425,1019.5175,0.0,84465.76999999999,863477.19,2111376.335,361.515,0.0,86.3475,205.37,0.0,33636.2525,501539.435,5331935232.0,6345887744.0,8437084160.0,8437080064.0,62.0,0.0
2025-12-02 00:44:00+07:00,1667189.105,357.84250000000003,0.0,130.5425,1019.57,0.0,84469.72,863519.2375,2111391.55,361.52,0.0,86.3475,205.375,0.0,33638.979999999996,501579.15249999997,5346172928.0,6359052288.0,8437084160.0,8437080064.0,62.0,0.0
